Year,Month,Value,Anomaly
1895,01,26.69,-3.43
1895,02,26.60,-7.22
1895,03,39.97,-1.53
1895,04,52.90,1.85
1895,05,59.94,-0.26
1895,06,67.80,-0.69
1895,07,71.24,-2.37
1895,08,71.62,-0.48
1895,09,65.57,0.71
1895,10,50.85,-3.26
1895,11,39.16,-2.53
1895,12,31.71,-0.97
1896,01,31.48,1.36
1896,02,35.04,1.22
1896,03,38.03,-3.47
1896,04,52.34,1.29
1896,05,62.46,2.26
1896,06,69.89,1.40
1896,07,73.69,0.08
1896,08,72.27,0.17
1896,09,62.94,-1.92
1896,10,51.91,-2.20
1896,11,38.32,-3.37
1896,12,35.55,2.87
1897,01,28.17,-1.95
1897,02,33.39,-0.43
1897,03,38.79,-2.71
1897,04,51.15,0.10
1897,05,61.18,0.98
1897,06,68.11,-0.38
1897,07,73.36,-0.25
1897,08,71.35,-0.75
1897,09,66.40,1.54
1897,10,55.11,1.00
1897,11,40.91,-0.78
1897,12,30.76,-1.92
1898,01,30.67,0.55
1898,02,35.37,1.55
1898,03,41.05,-0.45
1898,04,50.79,-0.26
1898,05,59.94,-0.26
1898,06,69.31,0.82
1898,07,73.29,-0.32
1898,08,72.75,0.65
1898,09,65.46,0.60
1898,10,51.49,-2.62
1898,11,38.39,-3.30
1898,12,28.67,-4.01
1899,01,29.68,-0.44
1899,02,25.50,-8.32
1899,03,37.63,-3.87
1899,04,50.61,-0.44
1899,05,59.90,-0.30
1899,06,68.65,0.16
1899,07,73.08,-0.53
1899,08,71.74,-0.36
1899,09,64.80,-0.06
1899,10,53.98,-0.13
1899,11,44.92,3.23
1899,12,31.62,-1.06
1900,01,34.11,3.99
1900,02,30.76,-3.06
1900,03,41.27,-0.23
1900,04,51.60,0.55
1900,05,61.74,1.54
1900,06,70.30,1.81
1900,07,73.13,-0.48
1900,08,72.86,0.76
1900,09,65.14,0.28
1900,10,56.35,2.24
1900,11,41.54,-0.15
1900,12,34.48,1.80
1901,01,31.62,1.50
1901,02,29.86,-3.96
1901,03,40.71,-0.79
1901,04,49.39,-1.66
1901,05,61.18,0.98
1901,06,68.43,-0.06
1901,07,76.24,2.63
1901,08,73.20,1.10
1901,09,63.25,-1.61
1901,10,55.45,1.34
1901,11,41.68,-0.01
1901,12,31.48,-1.20
1902,01,30.06,-0.06
1902,02,31.46,-2.36
1902,03,41.58,0.08
1902,04,50.85,-0.20
1902,05,61.99,1.79
1902,06,68.04,-0.45
1902,07,72.05,-1.56
1902,08,71.37,-0.73
1902,09,62.76,-2.10
1902,10,54.43,0.32
1902,11,43.68,1.99
1902,12,30.79,-1.89
1903,01,30.88,0.76
1903,02,28.42,-5.40
1903,03,42.21,0.71
1903,04,50.22,-0.83
1903,05,59.54,-0.66
1903,06,65.89,-2.60
1903,07,71.92,-1.69
1903,08,70.97,-1.13
1903,09,62.73,-2.13
1903,10,53.94,-0.17
1903,11,40.23,-1.46
1903,12,30.54,-2.14
1904,01,27.55,-2.57
1904,02,31.59,-2.23
1904,03,41.76,0.26
1904,04,49.46,-1.59
